ipc,x,y,degree,centrality,clustering,domain,analysis_date
C04B  18,-0.07563408863546961,0.9411942459283948,5,0.004615384615384615,0.7,Ceramics & Materials,2025-06-16 21:47
C04B  14,0.480827187034931,0.5154656169735041,4,0.0,1.0,Ceramics & Materials,2025-06-16 21:47
C04B  22,-0.5844983214714005,-0.2836548235839567,4,0.0,1.0,Ceramics & Materials,2025-06-16 21:47
C04B  24,-0.6274601569655955,0.3984665850548224,4,0.0,1.0,Ceramics & Materials,2025-06-16 21:47
C04B  28,0.13850844719462815,0.664589284873599,5,0.004615384615384615,0.7,Ceramics & Materials,2025-06-16 21:47
C04B  38,-0.637675161542883,0.7760328578411022,2,0.0,1.0,Ceramics & Materials,2025-06-16 21:47
C09K  11,0.30266701956717773,-0.09690392360780141,7,0.010102564102564101,0.7619047619047619,Phosphors & Luminescence,2025-06-16 21:47
B09B   3,-0.8191243255125579,-0.41786942419351614,5,0.0,1.0,Other,2025-06-16 21:47
C01F  17,-0.5806930692797314,-0.07822596672511269,8,0.01264102564102564,0.75,Inorganic Chemistry,2025-06-16 21:47
C22B   1,-0.15646840864531758,-0.8722383252894803,7,0.0012307692307692308,0.9047619047619048,Metallurgy & Extraction,2025-06-16 21:47
C01G  53,0.578331637885268,-0.7717964033164056,5,0.0,1.0,Other,2025-06-16 21:47
C22B   3,-0.22943654578709882,-0.14821084133929466,12,0.03756410256410255,0.5303030303030303,Metallurgy & Extraction,2025-06-16 21:47
C02F   1,0.24681871551106957,0.8627672678153221,3,0.0,1.0,Other,2025-06-16 21:47
C22B   7,0.02123088675011994,-0.18688090622637968,16,0.09956410256410259,0.38333333333333336,Metallurgy & Extraction,2025-06-16 21:47
C22B  15,0.35998816655395993,-0.9222207589036592,4,0.0,1.0,Metallurgy & Extraction,2025-06-16 21:47
C22B  19,0.5348624378147918,-0.3667668954598149,7,0.008717948717948718,0.7619047619047619,Metallurgy & Extraction,2025-06-16 21:47
C22B  21,-0.43992562520580697,0.7618179688101976,4,0.0,1.0,Metallurgy & Extraction,2025-06-16 21:47
C22B  23,0.21650647981680518,-0.22113341284870877,12,0.03810256410256409,0.5151515151515151,Metallurgy & Extraction,2025-06-16 21:47
C22B  26,-0.38830288710376726,-0.8638432951807224,4,0.0,1.0,Metallurgy & Extraction,2025-06-16 21:47
C22B  47,0.898812181487347,-0.1894794342625246,4,0.0,1.0,Metallurgy & Extraction,2025-06-16 21:47
C22B  59,-0.09215904723320201,-0.32511485810156115,15,0.08212820512820515,0.42857142857142855,Metallurgy & Extraction,2025-06-16 21:47
H01J   9,-0.8538089787793339,0.4358369618527422,3,0.0,1.0,Electronic Devices,2025-06-16 21:47
H01M   4,-0.23797463661874227,0.8314310676321887,2,0.0,1.0,Batteries & Energy Storage,2025-06-16 21:47
H01M  10,0.10472181568247703,-0.38623687824606256,15,0.1991794871794872,0.3333333333333333,Batteries & Energy Storage,2025-06-16 21:47
C22C   1,0.10259609184714023,-0.92134312130215,1,0.0,0.0,Other,2025-06-16 21:47
H01M   6,1.0,0.15358215487976992,1,0.0,0.0,Batteries & Energy Storage,2025-06-16 21:47
H10N  35,0.7372901856351912,0.7107352569255071,1,0.0,0.0,Other,2025-06-16 21:47
